異常,等級,X/Y輸出策略,真空策略,煞車策略,伺服/MC策略,恢復方式,備註
K101 安全繼電器NG,停機,停止新動作；安全相關輸出依硬體斷電,若光罩在手臂，依現場策略保持真空或安全洩放,垂直軸煞車落下,切斷伺服MC或STO依安全設計,安全復歸M6042後重新初始化,不得由PLC取代安全迴路。
K102 氣壓不足,停機,停止所有氣缸新命令,預設保持真空；若氣源不足無法保持需現場評估,煞車保持,停止軸動作，不一定立即切MC,恢復氣壓後M6040再初始化,避免一律OFF造成掉片。
K150 X橫移定位異常,停機,停止X橫移命令,保持目前真空,煞車依軸別,Axis1停止/Servo保持,排除後回S190初始化
K160 X升降定位異常,停機,停止X升降命令,保持目前真空,X升降煞車依停止順序落下,Axis2停止/Servo保持或切MC依現場,排除後回S190/S290初始化
K171 X/Z交握Timeout,停機,停止X進檢查區與Z新動作,保持目前真空,煞車保持,X/Z伺服停止但不亂切,確認Z安全位後復歸
K180 氣缸到位異常,停機,停止相關電磁閥新命令,保持或依步序處理,煞車保持,伺服不新增移動,查氣缸/磁簧/電磁閥
K200 真空建立失敗,停機,停止上升/橫移,真空ON保持並報警，禁止放片,煞車保持,伺服保持,查吸盤/漏氣後重試或人工排除
K201 破真空失敗,停機/警告,停止放夾下一步,破真空ON或要求人工確認,煞車保持,伺服保持,查破真空閥
K210 靜電消除器檢查,警告,不停止自動，HMI提示,不影響,不影響,不影響,維護後清除
K211 靜電消除器異常,停機,禁止下一片自動,保持目前真空,煞車保持,流程停在安全點,排除後復歸
K230 FFU/排風異常,警告/停機待定,依潔淨需求禁止啟動或停在安全點,保持目前真空,煞車保持,不一定切MC,查FFU/濾網/壓差,依業主標準決定等級。
Z定位雙線圈互鎖異常,停機,Y0011/Y0012或Y0013/Y0014同時ON,立即RST同組輸出並Alarm,K360,需檢查PLC程式/HMI手動按鈕互鎖
Z定位伸出Timeout,停機,S301/S302未於時間內達X0016/X0020,停止Z流程，保持/切除依氣路策略,K310/K311,檢查氣壓、磁簧、閥線圈
Z定位縮回Timeout,停機,S305未於時間內達X0017 AND X0021,禁止Z移到Barcode位,K321,檢查機構干涉與閥線圈
Z定位雙線圈互鎖異常,停機,Y0011/Y0012或Y0013/Y0014同時ON,立即RST同組輸出並Alarm,K360,需檢查PLC程式/HMI手動按鈕互鎖
Z定位伸出Timeout,停機,S301/S302未於時間內達X0016/X0020,停止Z流程，保持/切除依氣路策略,K310/K311,檢查氣壓、磁簧、閥線圈
Z定位縮回Timeout,停機,S305未於時間內達X0017 AND X0021,禁止Z移到Barcode位,K321,檢查機構干涉與閥線圈
Cycle Complete盒蓋未確認,警告/保持,M6600 ON後X0023或X0025仍在開蓋定位,禁止Y0020/Y0022破真空，HMI提示關蓋,K270,不新增DI；X0023/X0025語意需現場確認
儲存盒破真空未完成,警告/保持,Y0020 ON後X0030仍ON或Timeout,保持Cycle Complete畫面，提示檢查儲存盒真空,K271,依真空表/時間決定
上機盒破真空未完成,警告/保持,Y0022 ON後X0031仍ON或Timeout,保持Cycle Complete畫面，提示檢查上機盒真空,K272,依真空表/時間決定
兩盒未取出,警告,等待X0022 OFF AND X0024 OFF逾時,流程不進下一Cycle，HMI提示取出盒,K273,非立即停機，但禁止下一輪
靜電消除器Ready不足,警告/可停機,Ionizer Enable ON但X0033異常ON或X0032檢查不正常,依工藝要求警告或停機；HMI顯示Ionizer NG,K210/K211,Y0023為停止輸出，Enable時應OFF
