Step,動作,執行輸出/命令,完成條件,異常/Timeout,備註
S300,Z/Barcode流程入口,SET M6102；RST M6103,X0000安全OK、X0001氣壓OK、X0036 FFU Run、X0037 OFF,NG->S389,Auto只允許Axis1/2/3；Axis4不參與
S301,檢查站左右定位伸出,Y0011 ON、Y0012 OFF,X0016 ON,Timeout K310,使用既有正式點位，不新增Y0025/X0044
S302,檢查站前後定位伸出,Y0013 ON、Y0014 OFF,X0020 ON,Timeout K311,使用既有正式點位，不新增Y0026/X0046
S303,確認光罩在檢查站,無,X0026 ON,K312 光罩不在席,Z升起前必要條件
S304,Z升降到平台位，將光罩抬高,SET M4521；目標D4514,M4551 ON + Busy OFF + 誤差<=D4504,K320,平台位高度現場實測
S305,檢查站左右/前後定位縮回,Y0011 OFF、Y0012 ON、Y0013 OFF、Y0014 ON,X0017 ON 且 X0021 ON,K321,定位縮回後才可進Barcode高度
S306,Z升降到Barcode掃描位,SET M4522；目標D4510,M4552 ON + Busy OFF + 誤差<=D4504,K322,Barcode高度現場實測
S307,Barcode讀取,M6300 ON時SET M6302；M6300 OFF則SET M6306,M6303 ON 或 M6306 ON,K330,KEYENCE SR-2000W；通訊格式需實測
S308,Barcode比對,PLC/HMI比對D6300~D6349與D6350~D6399,M6304 OK->S309；M6305 NG->S380,K331,Barcode OFF 記錄BYPASS
S309,人工目視檢查選配,M6500 ON時SET M6501；OFF則SET M6504,M6502 OK/M6504->S310；M6503 NG->S380,K340,HMI彈窗，不需要操作紀錄
S310,Z升降回安全/原點等待位,SET M4520；目標D4512,M4550或M4553 ON + Busy OFF,K350,完成後通知X回檢查位
S311,Z/Barcode完成交握,SET M6103；RST M6102,主流程收到M6103,,M6103=Z/Barcode流程完成且Z升降在安全位
S380,NG返回來源盒,依方向回儲存盒或上機盒,X軸完成回放,必要時HMI確認,不得自動轉Axis4
S389,Z/Barcode異常監控,SET Alarm Code；RST M6102,HMI排除後回初始化/安全位,,停機或警告依Alarm表
