04_M軸1_X橫移
位址,中文名稱,English,分類,用途,備註
M4100,軸1_X橫移_狀態_速度控制中標誌,Axis1 X traverse speed control active,軸1_X橫移,軸卡狀態
M4101,軸1_X橫移_狀態_速度/位置切換鎖存,Axis1 X traverse speed/position latch,軸1_X橫移,軸卡狀態
M4102,軸1_X橫移_狀態_指令到位標誌,Axis1 X traverse command in position,軸1_X橫移,軸卡狀態
M4103,軸1_X橫移_狀態_原點回歸請求,Axis1 X traverse home return request state,軸1_X橫移,軸卡狀態
M4104,軸1_X橫移_狀態_原點回歸完成,Axis1 X traverse home return complete,軸1_X橫移,軸卡狀態
M4109,軸1_X橫移_狀態_軸報警檢測,Axis1 X traverse axis alarm detected,軸1_X橫移,軸卡狀態
M4112,軸1_X橫移_狀態_M代碼ON,Axis1 X traverse M-code ON,軸1_X橫移,軸卡狀態
M4113,軸1_X橫移_狀態_錯誤檢測,Axis1 X traverse error detected,軸1_X橫移,軸卡狀態
M4114,軸1_X橫移_狀態_啟動完成,Axis1 X traverse start complete,軸1_X橫移,軸卡狀態
M4115,軸1_X橫移_狀態_定位完成,Axis1 X traverse positioning complete,軸1_X橫移,軸卡狀態
M4116,軸1_X橫移_初始化,Axis1 X traverse initialize,軸1_X橫移,MAIN初始化觸發
M4127,軸1_X橫移_BUSY,Axis1 X traverse BUSY,軸1_X橫移,U1\G3150 bit狀態
M4131,軸1_X橫移_JOG-,Axis1 X traverse JOG-,軸1_X橫移,HMI手動
M4132,軸1_X橫移_JOG+,Axis1 X traverse JOG+,軸1_X橫移,HMI手動
M4120,軸1_X橫移_儲存盒位命令,Axis1 X traverse 儲存盒位 command,軸1_X橫移,定位命令
M4121,軸1_X橫移_檢查位/等待位命令,Axis1 X traverse 檢查位/等待位 command,軸1_X橫移,定位命令
M4122,軸1_X橫移_上機盒位命令,Axis1 X traverse 上機盒位 command,軸1_X橫移,定位命令
M4150,軸1_儲存盒位到位,Axis1 storage position complete,到位,M4127 OFF + InPosition + Error<=D4100。
M4151,軸1_檢查位到位,Axis1 inspection position complete,到位,M4127 OFF + InPosition + Error<=D4100。
M4152,軸1_上機盒位到位,Axis1 load position complete,到位,M4127 OFF + InPosition + Error<=D4100。
M4117,軸1_X橫移_Ready,Axis1 X traverse ready,狀態,安全OK + MC送電 + Servo ON + Alarm OFF + 軸卡Ready。,Coding時作自動/手動允許。
M4118,軸1_X橫移_Alarm,Axis1 X traverse alarm,狀態,軸卡Alarm/伺服Alarm/Timeout/極限異常總成。,Alarm Detail需顯示來源。
