Step,,,,,,M/D/備註
S200,子流程入口標準,主流程呼叫任一S2xx,SET M1226；RST M1227/M1228；檢查M4317 Ready,進指定子流程,Ready OFF轉S289,所有S2xx共用。
S210,儲存盒取片-下降取位,D1102=1,下降到D4412；到位M4351,M4351 ON + M4327 OFF + D4434<=D4300,K160,儲存盒取光罩位。
S211,儲存盒取片-夾爪夾,S210完成,Y0010夾爪關；Y0007 OFF,X0015 ON,K180,依正式X0014/X0015。
S212,儲存盒取片-手臂真空ON,S211完成,Y0015 X手臂真空ON,X0027 ON,K200,手臂Pick只認X0027；不可用X0030/X0031替代。
S214,取片後上升10mm真空確認,S212完成,SET M4330；移到D4424,M4357 ON且X0027仍ON,K200/K160,若三處高度不同，改M4333~M4335。
S218,回上位,S214完成,移到D4410,M4350 ON + X0027 ON,K160/K200,成功後RST M1226 SET M1227；D6100=2。
S220,儲存盒放片-下降放位,D1104=1,下降到D4414,M4352 ON + D4436<=D4300,K160,儲存盒放光罩位。
S221,儲存盒放片-破手臂真空,S220完成,Y0015 OFF；Y0016破真空ON,X0027 OFF或延時完成,K201,放片方式：先破真空。
S222,儲存盒放片-夾爪放開,S221完成,Y0007夾爪開；Y0010 OFF,X0014 ON,K180,破真空後放夾。
S228,回上位,S222完成,移到D4410；Y0016 OFF,M4350 ON,K160,成功後RST M1226 SET M1227；D6100=1。
S230,檢查位取片,D1102=2,下降D4416→夾爪關→Y0015 ON→X0027確認→M4330上升10mm→回D4410,M4350 ON且X0027 ON,K160/K180/K200,流程同取片標準；不得使用X0030/X0031。
S240,檢查位放片,D1102=2,下降D4418→Y0015 OFF/Y0016 ON→夾爪開→回D4410,M4350 ON + X0014 ON + X0026 ON + X0027 OFF,K160/K201/K180,Z流程前必須完成此步。D6100=3。
S250,上機盒取片,D1102=3,下降D4420→夾爪關→Y0015 ON→X0027確認→M4330上升10mm→回D4410,M4350 ON且X0027 ON,K160/K180/K200,反向流程使用。
S260,上機盒放片,D1102=3,下降D4422→Y0015 OFF/Y0016 ON→夾爪開→回D4410,M4350 ON + X0014 ON + X0027 OFF,K160/K201/K180,正向流程使用。D6100=5。
S289,子流程異常,任一S2xx異常,RST M1226；SET M1228；保存D6004/D6006/D6008,HMI復歸後由主流程處理,,不得在子流程內自行續跑。
S290,X升降初始化,M1223或S190呼叫,回原點後到上位D4410,M1225 ON + M4350 ON,K160,成功SET M1227。
