位址,名稱,方向,Normal State,Active Level,NPN/PNP/接點,COM,Terminal,Cable/Drawing Ref,設計說明
X0000,安全繼電器OK,DI,ON=安全成立,24V ON,NPN輸入/漏型PLC,DI-COM0,TB-X0000,待畫圖,安全迴路總回授，PLC只監看。
X0001,氣壓源OK,DI,ON=氣壓正常,24V ON,NPN輸入/漏型PLC,DI-COM0,TB-X0001,待畫圖,氣壓不足停機。
X0002,X軸橫移_負極限,DI,ON=極限觸發,24V ON,NPN輸入/漏型PLC,DI-COM0,TB-X0002,待畫圖,軸卡RLS/PLC監看。
X0003,X軸橫移_原點,DI,ON=原點,24V ON,NPN輸入/漏型PLC,DI-COM0,TB-X0003,待畫圖,DOG/原點。
X0004,X軸橫移_正極限,DI,ON=極限觸發,24V ON,NPN輸入/漏型PLC,DI-COM0,TB-X0004,待畫圖,軸卡FLS/PLC監看。
X0005,X軸升降_負極限,DI,ON=極限觸發,24V ON,NPN輸入/漏型PLC,DI-COM0,TB-X0005,待畫圖,軸卡RLS/PLC監看。
X0006,X軸升降_原點,DI,ON=原點,24V ON,NPN輸入/漏型PLC,DI-COM0,TB-X0006,待畫圖,DOG/原點。
X0007,X軸升降_正極限,DI,ON=極限觸發,24V ON,NPN輸入/漏型PLC,DI-COM0,TB-X0007,待畫圖,軸卡FLS/PLC監看。
X0010,Z軸升降_負極限,DI,ON=極限觸發,24V ON,NPN輸入/漏型PLC,DI-COM0,TB-X0010,待畫圖,Z升降限位。
X0011,Z軸升降_原點,DI,ON=原點,24V ON,NPN輸入/漏型PLC,DI-COM0,TB-X0011,待畫圖,Z升降原點。
X0012,Z軸升降_正極限,DI,ON=極限觸發,24V ON,NPN輸入/漏型PLC,DI-COM0,TB-X0012,待畫圖,Z升降限位。
X0013,Z軸旋轉_原點,DI,ON=原點,24V ON,NPN輸入/漏型PLC,DI-COM0,TB-X0013,待畫圖,Z旋轉原點。
X0014,X軸氣缸左右夾爪_開,DI,ON=開到位,24V ON,NPN輸入/漏型PLC,DI-COM1,TB-X0014,待畫圖,夾爪開確認。
X0015,X軸氣缸左右夾爪_關,DI,ON=關到位,24V ON,NPN輸入/漏型PLC,DI-COM1,TB-X0015,待畫圖,夾爪關確認。
X0016,檢查站氣缸左右定位_開,DI,ON=開到位,24V ON,NPN輸入/漏型PLC,DI-COM1,TB-X0016,待畫圖,檢查站定位。
X0017,檢查站氣缸左右定位_關,DI,ON=關到位,24V ON,NPN輸入/漏型PLC,DI-COM1,TB-X0017,待畫圖,檢查站定位。
X0020,檢查站氣缸前後定位_開,DI,ON=開到位,24V ON,NPN輸入/漏型PLC,DI-COM1,TB-X0020,待畫圖,檢查站定位。
X0021,檢查站氣缸前後定位_關,DI,ON=關到位,24V ON,NPN輸入/漏型PLC,DI-COM1,TB-X0021,待畫圖,檢查站定位。
X0022,儲存盒在席定位,DI,ON=盒在席,24V ON,NPN輸入/漏型PLC,DI-COM1,TB-X0022,待畫圖,盒在席，不等於盒內光罩存在。
X0023,儲存盒開蓋定位,DI,ON=開蓋到位,24V ON,NPN輸入/漏型PLC,DI-COM1,TB-X0023,待畫圖,儲存盒開蓋。
