Step,,,,,,M/D/備註
S200,子流程入口標準,主流程呼叫任一S2xx,SET M1226；RST M1227/M1228；檢查M4317 Ready。,進指定子流程,Ready OFF轉S289,所有S2xx共用。
S210,儲存盒取片-下降取位,D1102=1,下降到D4412；到位M4351。,M4351 ON,K160,儲存盒取光罩位。
S211,儲存盒取片-夾爪夾,S210完成,夾爪關；確認夾爪關到位。,夾爪關確認,K180,依X0014~X0021實際點位。
S212,儲存盒取片-真空ON,S211完成,真空ON。,X0027或X0030真空OK,K200,未OK停機，避免上升掉片。
S214,取片後上升10mm真空確認,S212完成,SET M4330；移到D4424。,M4357 ON且真空OK,K200/K160,若三處高度不同，D4424需拆分。
S218,回上位,S214完成,移到D4410。,M4350 ON,K160,成功後RST M1226 SET M1227。
S220,儲存盒放片-下降放位,D1104=1,下降到D4414。,M4352 ON,K160,儲存盒放光罩位。
S221,儲存盒放片-破真空,S220完成,真空OFF/破真空ON。,真空OK OFF或延時完成,K201,放片方式：先破真空。
S222,儲存盒放片-夾爪放開,S221完成,夾爪開。,夾爪開確認,K180,放片方式：破真空後放夾。
S228,回上位,S222完成,移到D4410。,M4350 ON,K160,成功後RST M1226 SET M1227。
S230,檢查位取片,D1102=2,下降D4416、夾爪夾、真空ON、上升D4424確認、回D4410。,M4350 ON且真空OK,K160/K200,流程同取片標準。
S240,檢查位放片,D1102=2,下降D4418、破真空、夾爪開、回D4410。,M4350 ON,K160/K201,流程同放片標準。
S250,上機盒取片,D1102=3,下降D4420、夾爪夾、真空ON、上升D4424確認、回D4410。,M4350 ON且真空OK,K160/K200,反向流程使用。
S260,上機盒放片,D1102=3,下降D4422、破真空、夾爪開、回D4410。,M4350 ON,K160/K201,正向流程使用。
S289,子流程異常,任一S2xx異常,RST M1226；SET M1228；停止軸2新命令。,HMI復歸後由主流程處理,,不得在子流程內自行續跑。
S290,X升降初始化,M1223或S190呼叫,回原點後到上位D4410。,M1225 ON + M4350 ON,K160,成功SET M1227。
