畫面,功能,要求,點位/資料,權限,備註
Auto首頁,Machine Ready,顯示Safety/Air/FFU/Init/Barcode Valid/Visual Enable/Alarm成立狀態。,X0000/X0001/M6301/M6500/D6004,Operator
Auto首頁,Forward/Reverse Start,正向/反向啟動，Busy時禁止反向。,M6002/M6003,Operator
Auto首頁,流程完成Popup,顯示可開門、關盒蓋、取出兩盒。,M6600/D6600,Operator
功能設定,Ionizer Enable,ON/OFF並顯示Bypass。,Ionizer Enable/M650x,Engineer
功能設定,Barcode Compare Enable,ON時Storage Barcode Valid必要。,M6300/M6301,Engineer
功能設定,Visual Inspection Enable,ON時需人工OK/NG。,M6500,Engineer
Barcode畫面,Storage Barcode,輸入/顯示/Valid。,D6300~D6349/M6301,Operator/Engineer
Barcode畫面,Mask Barcode/Compare,顯示讀取值、OK/NG/BYPASS。,D6350~D6399/M6304/M6305/M6306,Operator
Barcode History,1000筆歷史,最新一筆在第1列，可依方向/結果篩選。,HMI Ring Buffer/Data Logging,Operator,建議HMI處理。
Visual Popup,人工目視確認,Visual Enable ON且Barcode OK後彈窗，流程Hold。,M6501/M6502/M6503/D6500,Operator,NG需二次確認。
工程調機,4軸JOG,Axis1~Axis4 JOG，Axis4只允許工程/手動。,M4131/M4132/M4341/M4340/M4531/M4532/M4731/M4732,Engineer,需M6200/M6201。
工程調機,4軸Teach,Current/Target/Teach/Save/Confirm。,D4100~D4899,Engineer,Auto Busy禁止。
工程調機,Z定位氣缸診斷,顯示檢查站左右/前後定位雙線圈伸出、縮回與回授狀態。,X0016/X0017/X0020/X0021 + Y0011/Y0012/Y0013/Y0014,Engineer,Deprecated Device不得引用；HMI只顯示正式4DI+4DO。
異常畫面,Alarm Detail,顯示Alarm code、Step、Axis、Material State、Barcode/Visual result。,D6004/D6006/D6008/D6010/D6402/D6500,Operator
Cycle Complete Popup,流程完成取盒導引,依序顯示：流程完成→請關儲存盒蓋→儲存盒破真空完成→請關上機盒蓋→上機盒破真空完成→請取出兩盒。,M6600/M6601/M6602/M6603/M6604 + X0022/X0023/X0024/X0025 + Y0020/Y0022,Operator,盒蓋關閉不新增DI；使用X0023/X0025開蓋定位OFF作暫定等效條件，現場需確認感測器語意。
