代碼
K101,安全繼電器NG,停機,X0000 OFF,停止自動；伺服禁止新命令；依安全策略切MC/煞車。,檢查EMO/門鎖，安全復歸M6042。
K102,氣壓不足,停機,X0001 OFF,停止自動；保持或洩放真空依現場策略。,恢復氣壓後M6040復歸。
K150,X橫移定位逾時/誤差過大,停機,Busy逾時或D423x>D4100,轉S189。,排除卡滯/極限/伺服警報後初始化。
K160,X升降定位逾時/誤差過大,停機,Busy逾時或D443x>D4300,S200 SET M1228，主流程轉S189。,確認Z干涉、煞車、負載、位置參數後初始化。
K171,X/Z交握逾時,停機,等待M6102或M6103逾時,RST M6101/M6102，轉S189。,確認Z流程、安全位、Barcode狀態。
K180,氣缸到位異常,停機,夾爪或定位氣缸未到位,停止後續軸移動。,查電磁閥、磁簧、氣壓、機構。
K181,Barcode通訊逾時,停機/可重試,D6400讀取逾時,進Barcode NG/人工介入流程。,確認Barcode Reader(依BOM實際採購型號)通訊、Trigger、網路。
K182,Barcode比對NG,停機/人工判定,讀取字串與工單字串不一致,HMI彈窗，可重掃一次。,門鎖Bypass開門確認，關門安全恢復後判定。
K200,真空建立失敗,停機,取片真空ON後X0027/X0030/X0031未成立,保持在安全位置，不上升或停止在真空確認位。,檢查吸盤、真空產生器、破真空閥、漏氣。
K201,破真空失敗,停機/警告,破真空後真空OK未OFF,停止下一步放夾或要求人工確認。,檢查破真空電磁閥、管路阻塞。
K210,靜電消除器檢查,警告,X0032 ON,不停機，HMI提示維護。,檢查清潔/放電針/氣源。
K211,靜電消除器異常,停機,X0033 ON,停止自動流程，依風險決定是否保持真空。,排除設備異常後復歸。
K220,排風壓差低,警告/停機待定,X0034 ON,可警告或禁止啟動，依業主規範。,檢查FFU/排風/濾網。
K221,排風壓差高,警告/停機待定,X0035 ON,可警告或禁止啟動，依業主規範。,檢查濾網阻塞。
K230,FFU異常,警告/停機待定,X0037 ON,依潔淨需求決定停機或禁止啟動。,查FFU電源、接觸器、濾網。
K240,Z升降異常,停機,Z升降伺服/定位/Timeout,停止Z流程，主流程不允許X進入。,排除後初始化。
K250,Z旋轉手動異常,警告/停機,手動旋轉Alarm/Timeout,停止Z旋轉手動命令。,工程模式排除後復歸。
K270,儲存盒關蓋等效條件未成立,警告/停機待定,Cycle Complete等待X0023 OFF逾時,禁止Y0020儲存盒破真空。,確認儲存盒蓋/感測器語意，人工處理後復歸。
K271,儲存盒破真空未完成,停機/警告,Y0020 ON後X0030未OFF且逾時,禁止Cycle End。,檢查儲存盒破真空閥/真空管路。
K272,上機盒破真空未完成,停機/警告,Y0022 ON後X0031未OFF且逾時,禁止Cycle End。,檢查上機盒破真空閥/真空管路。
K273,兩盒未取出,警告,等待X0022 OFF AND X0024 OFF逾時,保持完成提示，不進下一循環。,操作員取出兩盒後自動解除或按復歸。
K274,上機盒關蓋等效條件未成立,警告/停機待定,Cycle Complete等待X0025 OFF逾時,禁止Y0022上機盒破真空。,確認上機盒蓋/感測器語意，人工處理後復歸。
